entity,soc
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultReplicateEventListener.java,36
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiJtaPlatform.java,35
hibernate-entitymanager/src/main/java/org/hibernate/jpa/QueryHints.java,35
hibernate-core/src/test/java/org/hibernate/test/subselect/CompositeIdTypeBindingTest.java,35
hibernate-core/src/test/java/org/hibernate/test/annotations/lob/SerializableToBlobTypeTest.java,35
hibernate-core/src/test/java/org/hibernate/test/annotations/lob/ImplicitSerializableType.java,35
hibernate-core/src/test/java/org/hibernate/test/annotations/lob/ExplicitSerializableType.java,35
hibernate-core/src/test/java/org/hibernate/test/annotations/id/sequences/HibernateSequenceTest.java,35
hibernate-core/src/main/java/org/hibernate/type/descriptor/sql/JdbcTypeJavaClassMappings.java,35
hibernate-core/src/main/java/org/hibernate/procedure/ProcedureCallMemento.java,35
hibernate-core/src/main/java/org/hibernate/metamodel/relational/Table.java,35
hibernate-core/src/main/java/org/hibernate/event/spi/ResolveNaturalIdEventListener.java,35
hibernate-core/src/main/java/org/hibernate/engine/spi/CollectionEntry.java,35
hibernate-core/src/main/java/org/hibernate/engine/jdbc/dialect/spi/DatabaseInfoDialectResolver.java,35
hibernate-core/src/main/java/org/hibernate/criterion/Restrictions.java,35
hibernate-core/src/main/java/org/hibernate/Session.java,35
settings.gradle,34
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/InfinispanRegionFactoryTestCase.java,34
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/collection/CollectionRegionImpl.java,34
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/lazy/ToOneDelegateSessionImplementor.java,34
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/AbstractToOneMapper.java,34
hibernate-core/src/main/java/org/hibernate/procedure/ParameterRegistration.java,34
hibernate-core/src/main/java/org/hibernate/id/insert/AbstractSelectingDelegate.java,34
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/DatabaseProfilePlugin.java,34
hibernate-envers/src/main/java/org/hibernate/envers/configuration/metadata/CollectionMetadataGenerator.java,33
